no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
286,CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1C2=,)N(CC[NH+](C)C)C(=O)[C@@H]2OC(C)=OCCCC(=O)OCOC(=O)C1=C(C)NC(=C([C@H]1C2=C(,9.7,3.14,13.7,9.96,10.6,9.68,0.1,0.07,0.99,0.50,1.14,1.00,1.03,0.99,-1.00,-1.17
287,NC1CCN(C1)C2=C(F)C=C3C(=O)C(=CN(C4C,0.00380.01,0.58,0.73,142,43.79,0.3,1.04,,,0.24,-0.14,2.15,1.64,-0.52,0.02,-2.42,-2.05
288,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@,O)C(=CN3C4CC4)C([O-])=OCCC[C@@H]1C[C@H]([NH+](C)C1)C(=O)N[C@H](,1.9,1.46,4.7,4.35,5.4,7.43,0.96,0.73,0.28,0.16,0.67,0.64,0.73,0.87,-0.02,-0.14
289,O)[C@@H](O)[C@H]2O,](O)[C@@H]2O,0.79,0.95,4.5,3.66,2.1,2.55,0.06,0.14,0.10,-0.02,0.65,0.56,0.32,0.41,-1.22,-0.84
290,NC1=NC(=NC2=C1N=C[N]2[C@@H]3O[C@,NC1=C2N=C[N]([C@@H]3O[C@H](CO)[C@@H](O,0.88,0.81,1.6,1.92,43.2,24.23,0.64,0.50,0.06,-0.09,0.20,0.28,1.64,1.38,-0.19,-0.30
291,,,1.75,2.20,7.7,7.57,4,3.92,0.53,0.55,0.24,0.34,0.89,0.88,0.60,0.59,-0.28,-0.26
292,)C=C13,CC=C2[O-,13,14.46,8.2,9.80,26,22.05,0.029,0.08,1.11,1.16,0.91,0.99,1.41,1.34,-1.54,-1.12
293,=C23)[N](=O)=O,=C3)C=C1,2.9,0.97,0.88,0.83,38,23.34,0.15,0.03,0.46,-0.02,-0.06,-0.08,1.58,1.37,-0.82,-1.51
294,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3,COC(=O)[C@@H]([NH+]1CCC2=C(C1)C=CS2)C3=,3.3,4.85,4,5.44,7.6,5.77,0.56,0.26,0.52,0.69,0.60,0.74,0.88,0.76,-0.25,-0.59
295,CN1CCN(CC1)C2=NC3=CC(=CC=C3NC4=C,C[NH+]1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C,2.01,2.08,23.65,13.91,5.06,5.26,0.02,0.03,0.30,0.32,1.37,1.14,0.70,0.72,-1.70,-1.54
296,OC1(CN(C1)C(=O)C2=C(NC3=C(F)C=C(I)C=,OC1(CN(C1)C(=O)C2=C(NC3=C(F)C=C(I)C=C3)C(=,1.6,2.01,2.5,4.14,10,10.87,0.055,0.06,0.20,0.30,0.40,0.62,1.00,1.04,-1.26,-1.22
297,C3)C(=C(F)C=C2)F)[C@@H]4CCCCN4298CCOC(=O)[C@H]1[C@H](C[C@@H]2CC[CCCOC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1[NH](O)[C@@H]5OC1=C2[C@]45CCN3CCOC1=CC=C2C(=CC1=O)[C@H](CCC3=CC(,C(F)C=C2)F)[C@@H]4CCCC[NH2+]4CC(=C2[C@@]34CC[NH+]5C)C=C1COC1=CC=C2C(=CC1=O)[C@H](CCC3=C2C(=C(O,15.4,12.23,2.8,3.01,68.8,44.42,0.05,0.04,1.19,1.09,0.45,0.48,1.84,1.65,-1.30,-1.39
301,=C(OC)C(=C23)OC)OC)NC(C)=OCOC1=CC=C(C=CC2=CC(=C(OC)C(=C2)OC),C)C(=C3)OC)OC)NC(C)=OCOC1=C(O[P]([O-])([O-,6.1,4.84,2.1,3.20,58,20.77,0.61,0.28,0.79,0.69,0.32,0.50,1.76,1.32,-0.21,-0.56
302,OC)C=C1O[P](O)(O)=OCC1=NC2=C([NH]1)C3=CC=CC=C3N(CC2)C,])=O)C=C(C=C1)\C=C/C2=CC(=C(OC)C(=C2)OC)OCCC1=NC2=C([NH]1)C3=C(C=CC=C3)N(CC2)C(=O),0.11,0.14,5.86,4.26,0.47,1.05,0.23,0.14,0.96,-0.86,0.77,0.63,-0.33,0.02,-0.64,-0.85
303,(=O)C4=CC=C(NC(=O)C5=CC=CC=C5C6=CC=CC=C6)C=C4COC1=C(OCCCN2CCOCC2)C=CC3=C1N=C(,C4=CC=C(NC(=O)C5=C(C=CC=C5)C6=CC=CC=C6)C=C4COC1=C2N=C(NC(=O)C3=CN=C(N)N=C3)N4CCN=,0.76,0.96,3,2.69,6.7,9.50,0.01,0.01,0.12,-0.02,0.48,0.43,0.83,0.98,-2.00,-2.04
304,NC(=O)C4=CN=C(N)N=C4)N5CCN=C35CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=,C4C2=CC=C1OCCC[NH+]5CCOCC5CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C,10.34,8.22,6.42,6.02,25.2,16.62,,,1.01,0.91,0.81,0.78,1.40,1.22,,
305,C3N=C5C=CC=CC5=C4CC[Si](C)(C)C)C2=O,5C=CC=CC5=C4CC[Si](C)(C)C)C2=O,3.26,1.84,4.2,3.79,13.2,9.56,,,0.51,0.26,0.62,0.58,1.12,0.98,,
306,CN1[C@@H](CCC1=O)C2=CC=CN=C2,CN1[C@@H](CCC1=O)C2=CN=CC=C2,1.1,0.72,0.89,1.72,17,7.58,,,0.04,-0.14,-0.05,0.24,1.23,0.88,,
307,O=C1OC2=C(C=CC=C2)C=C1CCCCCCCCC=CCCCCCCCC(=O)OC[C@H]1,O=C1OC2=C(C=CC=C2)C=C1CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@,1.1,0.87,23.6,13.35,0.8,1.13,0.17,0.20,0.04,-0.06,1.37,1.13,-0.10,0.05,-0.77,-0.70
308,O[C@H]([C@@H](O)[C@@H]1O)N2C=CC(=NC2=O)NC[C@@H](O)[C@@H]1[C@@H]2SC(=C(N2,H]([C@@H](O)[C@@H]1O)N2C=CC(=NC2=O)NC[C@@H](O)[C@H]1[C@@H]2SC(=C(N2C1=O)C([,0.41,0.52,0.36,1.13,0.36,1.03,,,0.39,-0.29,-0.44,0.05,-0.44,0.01,,
309,C1=O)C([O-])=O)S[C@H]3CC[S@@](=O)C3C[N]1N=NN=C1SCC2=C(N3[C@H](SC2)[C@,O-])=O)S[C@H]3CC[S@](=O)C3C[N]1N=NN=C1SCC2=C(N3[C@@H](SC2)[C@H](N,0.21,0.26,5.1,4.28,0.9,1.08,0.9,0.62,0.68,-0.58,0.71,0.63,-0.05,0.03,-0.05,-0.21
310,H](NC(=O)C(=NOCC(O)=O)C4=N[NH]C=C4)C3=O)C(O)=OC[C@@H](OC1=CC(=CN=C1N)C2=C[N](N=,C(=O)\C(=N\OCC([O-])=O)C4=N[NH]C=C4)C3=O)C([O-])=OC[C@@H](OC1=C(N)N=CC(=C1)C2=C[N](N=C2)C3,0.22,0.22,1.83,1.49,1.33,1.51,,,0.66,-0.66,0.26,0.17,0.12,0.18,,
311,COC1=CC2=C(C=C1OCCCCCCC(=O)NO)C(=,COC1=C(OCCCCCCC(=O)N[O-,22.15,17.60,9.75,7.90,38.9,24.93,0.09,0.06,1.35,1.25,0.99,0.90,1.59,1.40,-1.05,-1.24
312,NC=N2)NC3=CC=CC(=C3)C#C,])C=C2C(=NC=NC2=C1)NC3=CC(=CC=C3)C#C,0.56,0.69,11.99,7.08,5.01,6.35,,,0.25,-0.16,1.08,0.85,0.70,0.80,,
313,NC#NCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC,NC#NC[NH+]1CC[NH+](CC1)C(C2=CC=CC=C2)C3=CC=,0.78,0.62,17,12.98,0.43,0.69,,,0.11,-0.21,1.23,1.11,-0.37,-0.16,,
314,=C3NC1=NC(=O)N(C=C1)[C@@H]2C=C(CO)[C,CC=C3NC1=NC(=O)N(C=C1)[C@@H]2C=C(CO)[C@@H](,16.5,13.10,14.5,11.80,13.53,11.52,,,1.22,1.12,1.16,1.07,1.13,1.06,,
315,@@H](O)[C@H]2O,O)[C@H]2O,,,3.61,4.58,,,,,,,0.56,0.66,,,,
316,CCC[C@H](NC1=NC(=NC=C1C)C2=CC(=C(,CCC[C@H](NC1=C(C)C=NC(=N1)C2=CC(=C(NC(=,0.73,0.85,1.1,1.41,8,4.77,0.87,0.80,0.14,-0.07,0.04,0.15,0.90,0.68,-0.06,-0.10
317,NC(=O)NCC)C=C2)OC)C3=CN=CC=C3NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO,O)NCC)C=C2)OC)C3=CN=CC=C3NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@,3.41,2.71,22.2,10.54,2.9,4.50,,,0.53,0.43,1.35,1.02,0.46,0.65,,
318,)[C@@H](O)[C@@H]2OC[N]1C(=NC2=CC(=CC=C12)C(=O)N(CCC(O,H](O)[C@@H]2OC[N]1C(=NC2=C1C=CC(=C2)C(=O)N(CCC([O-,0.67,0.78,41.67,16.79,0.17,0.54,0.87,0.86,0.17,-0.11,1.62,1.22,-0.77,-0.27,-0.06,-0.07
319,)=O)C3=CC=CC=N3)CNC4=CC=C(C=C4)C(N)=NCC(C)(C)C1=NC(=C(S1)C2=CC=NC(=N2)N)C,])=O)C3=NC=CC=C3)CNC4=CC=C(C=C4)C(N)=[NH2+]CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(F),0.85,1.02,1.93,2.25,7.3,5.26,0.65,0.29,0.07,0.01,0.29,0.35,0.86,0.72,-0.19,-0.54
320,3=CC=CC(=C3F)N[S](=O)(=O)C4=C(F)C=CC=C4F,C(=CC=C3)N[S](=O)(=O)C4=C(F)C=CC=C4F,0.65,0.82,2.86,2.19,2.6,5.69,0.003,0.01,0.19,-0.09,0.46,0.34,0.41,0.75,-2.52,-2.29
321,CN(C)N=NC1=C([NH]C=N1)C(N)=OOCCN(CCC1=C[NH]C2=CC=CC=C12)CC3=C,CN(C)N=NC1=C([NH]C=N1)C(N)=OOCC[NH+](CCC1=C[NH]C2=C1C=CC=C2)CC3=CC,1.2,0.95,2.6,3.17,6.2,5.02,1,0.91,0.08,-0.02,0.41,0.50,0.79,0.70,0.00,-0.04
322,C=C(C=CC(=O)NO)C=C3COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C2=NC=C([NH]2)C3=CC=C(C=C3)C4=,=C(\C=C/C(=O)N[O-])C=C3COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C2=NC=C([NH]2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5,2.17,1.72,7.6,5.37,12.43,8.86,0.23,0.15,0.34,0.24,0.88,0.73,1.09,0.95,-0.64,-0.82
323,CC=C(C=C4)C5=CN=C([NH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C,=CN=C([NH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C,0.67,0.84,1,1.58,13.5,10.64,0.01,0.01,0.17,-0.07,0.00,0.20,1.13,1.03,-2.00,-1.86
324,NC1=CC=NC=C1325CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2[C@CC[NH+](CC)CC[S](=O)(=O)[C@@H]1CCN2[C@H],NC1=CC=[NH+]C=C1,2.6,2.06,9.3,8.64,3.6,2.30,1,0.81,0.41,0.31,0.97,0.94,0.56,0.36,0.00,-0.09
326,C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(O)C#CCC(C)(C)OC(=O)N[C@H]1CCCCCC=C[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C,CC[C@@]5(C)[C@@H]4CC[C@@]5(O)C#CCC(C)(C)OC(=O)N[C@H]1CCCCC\C=C\[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O,5.18,4.11,15.71,8.60,2.31,3.48,,,0.71,0.61,1.20,0.93,0.36,0.54,,
327,1=O)OC(=O)N4CC5=CC=CC(=C5C4)F)C(=O)N[S](=O)(=O)C6CC6O=C1CN(N=CC2=CC=C(O2)C3=CC=C(C=C3,)N4CC5=C(C4)C(=CC=C5)F)C(=O)N=[S]([O-])(=O)C6CC6[O-,0.22,0.28,11.53,9.08,1.81,2.83,0.02,0.03,0.66,-0.56,1.06,0.96,0.26,0.45,-1.70,-1.51
328,)[N](=O)=O)C(=O)N1CO[C@@H](C(=O)N1CC2=C(C1)C(=N[NH]2),][N+](=O)C1=CC=C(C=C1)C2=CC=C(O2)\C=N\N3CC(=O)NC3=OCO[C@@H](C(=O)N1CC2=C(C1)C(=N[NH]2)NC(=O,0.37,0.47,0.43,0.83,10,6.68,,,0.43,-0.33,-0.37,-0.08,1.00,0.82,,
329,NC(=O)C3=CC=C(C=C3)N4CCN(C)CC4)C5=CC=CC=C5,)C3=CC=C(C=C3)N4CC[NH+](C)CC4)C5=CC=CC=C,2.5,3.15,6.1,6.55,25,15.17,,,0.40,0.50,0.79,0.82,1.40,1.18,,
330,H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=CNC1=CC=C(C=C1)[S](=O)(=O)C2=CC=C(N)C,@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C1,1.7,1.35,3,3.48,12.2,8.27,0.09,0.07,0.23,0.13,0.48,0.54,1.09,0.92,-1.05,-1.14
331,=C2CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(,NC1=CC=C(C=C1)[S](=O)(=O)C2=CC=C(N)C=C2CC[NH+](CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=,0.83,0.90,0.48,0.96,22,10.64,0.25,0.22,0.08,-0.04,-0.32,-0.02,1.34,1.03,-0.60,-0.65
332,C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(F)C=C5NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCC,C2)C(F)(F)F)C(=O)CN3C(=NC(=O)C4=C3CCC4)SCC5=CC=C(F)C=C5NC(=O)C([C@@H]1CC[NH+](CCC2=CC3=C(OCC3),11.9,9.44,4.11,4.34,40.9,32.60,,,1.08,0.98,0.61,0.64,1.61,1.51,,
333,C3=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC,C=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)N,2.6,2.06,12,8.23,3.6,5.46,0.02,0.02,0.41,0.31,1.08,0.92,0.56,0.74,-1.70,-1.61
334,=C1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)[S](=O)(=O)C4=CC=C(N)C=C4COC1=C(C=C(C=C1C(C)(C)C)N2C=CC(=O)N,C(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)[S](=O)(=O)C4=CC=C(N)C=C4COC1=C(C=C(C=C1C2=CC3=CC=C(N[S](C)(=O)=O),,,7.81,6.76,15,9.22,0.05,0.06,,,0.89,0.83,1.18,0.96,-1.30,-1.25
335,C2=O)C3=CC=C4C=C(N[S](C)(=O)=O)C=CC4=C3COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[,C=C3C=C2)N4C=CC(=O)NC4=O)C(C)(C)CCOC1=C2C(=O)C3=C(C(=C4C[C@@](O)(C[C@H](O,2.13,1.69,,,5.7,6.79,0.005,0.01,0.33,0.23,,,0.76,0.83,-2.30,-2.05
336,C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(C)=O)C(=C3C(=O)C2=CC=C1)OCC(C)NC[C@@H](O)COC1=C(C)C(=C(O)C(=,[C@H]5C[C@H]([NH3+])[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)O)C(=O)C2=CC=C1CC(C)[NH2+]C[C@@H](O)COC1=C(C)C(=C(O)C(=,32.05,38.61,47.57,28.94,14.24,14.29,0.06,0.09,1.51,1.59,1.68,1.46,1.15,1.16,-1.22,-1.07
337,C1)C)CNC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C,C1)C)CNC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](,3.6,2.86,16.2,14.10,3.1,3.20,,,0.56,0.46,1.21,1.15,0.49,0.51,,
338,@@H](CO)O2OC(=O)C1=CC=C(C=C1)[N]2N=C(N=C2C3=,CO)O2OC1=C(C=CC=C1)C2=N[N](C3=CC=C(C=C3)C([O-,4.6,1.88,130,37.04,0.58,1.02,1,0.87,0.66,0.27,2.11,1.57,-0.24,0.01,0.00,-0.06
339,CC=CC=C3O)C4=CC=CC=C4OC[C@@]1(COC(=O)CCC(O)=O)[C@@H](CC[,])=O)C(=N2)C4=C(O)C=CC=C4C[C@@]1(COC(=O)CCC([O-,0.2,0.17,0.84,0.79,4.05,4.28,0.004,0.01,0.70,-0.76,-0.08,-0.10,0.61,0.63,-2.40,-2.25
340,C@]2(C)[C@@H]1CCC(=C)[C@H]2C=CC3=CCOC3=O)OC(=O)CCC(O)=ONC1=NC(=C(F)C=C1F)N2C=C(C(O)=O)C(=O,])=O)[C@@H](CC[C@]2(C)[C@@H]1CCC(=C)[C@H]2\C=C\C3=CCOC3=O)OC(=O)CCC([O-])=ONC1=C(F)C=C(F)C(=N1)N2C=C(C([O-,0.13,0.16,2,2.43,1.9,2.30,,,0.89,-0.79,0.30,0.39,0.28,0.36,,
341,,,0.35,0.44,2.33,2.24,2.1,3.19,0.16,0.10,0.46,-0.36,0.37,0.35,0.32,0.50,-0.80,-0.99
342,l)C2=C1CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](,C1C[NH+](C)[C@H]1[C@@H]2C[C@@H]3[C@H](O),2.2,2.20,0.17,0.19,200,72.05,0.051,0.03,0.34,0.34,-0.77,-0.72,2.30,1.86,-1.29,-1.52
343,O)C(=O)C(=C1O)C(N)=O)OCCC(CC)COC(C(=O)OCCN(C)C)(C1=CC=CC,])[C@]2(O)C(=O)C(=C1[O-])C(N)=OCCC(CC)COC(C(=O)OCC[NH+](C)C)(C1=CC=CC=C,1.3,0.90,1.1,1.28,12,8.99,0.59,0.21,0.11,-0.05,0.04,0.11,1.08,0.95,-0.23,-0.68
344,=C1)C2=CC=CC=C2NC1=NC(=O)N(C=C1F)[C@H]2C[C@H](O)[C,1)C2=CC=CC=C2NC1=NC(=O)N(C=C1F)[C@H]2C[C@H](O)[C@H](C,7.1,5.64,5.7,6.13,34,21.42,,,0.85,0.75,0.76,0.79,1.53,1.33,,
345,@@H](CO)O2CC=C4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[,O)O2,0.91,1.67,5.09,6.99,0.78,1.10,,,0.04,0.22,0.71,0.84,-0.11,0.04,,
347,C@@H](NC(=O)C6=CC=CC=C6)C7=CC=CC=C7)C(=C([C@@H](OC(C)=O)C3=O)C5(C)C)CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CC,@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C6=CC=CC=C6)C7=CC=CC=C7)C(=C([C@@H](OC(C)=O)C3=O)C5(C)C)CCC(=O)N([O-])CCCCCNC(=O)CCC(=O)N([O-,6.9,5.48,8.6,6.35,31,20.16,,,0.84,0.74,0.93,0.80,1.49,1.30,,
348,CCCNC(=O)CCC(=O)N(O)CCCCCNCNCCCN1C2=CC=CC=C2CCC3=CC=CC=C1,])CCCCCNC(=O)CCC(=O)N([O-])CCCCC[NH3+]C[NH2+]CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C,1.35,1.07,8.33,6.22,3.05,2.97,,,0.13,0.03,0.92,0.79,0.48,0.47,,
349,,,15,7.23,11,10.44,22,20.05,0.16,0.19,1.18,0.86,1.04,1.02,1.34,1.30,-0.80,-0.72
350,C2=C1CN(C)C[C@H](C1=CC=C(O)C=C1)C2(O)CC,C[NH+](C)C[C@H](C1=CC=C(O)C=C1)C2(O)CCCC,0.45,1.54,0.12,0.20,46,30.12,0.03,0.04,0.35,0.19,-0.92,-0.70,1.66,1.48,-1.52,-1.37
351,CCC2C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O,C2C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[,3.5,3.09,4.9,6.82,8.4,6.61,0.7,0.64,0.54,0.49,0.69,0.83,0.92,0.82,-0.15,-0.19
352,)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COCCCCCCC(C)(C)C1=CC(=C2[C@H]3CC(=CC,C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COCCCCCCC(C)(C)C1=CC2=C([C@H]3CC(=CC[C@@,0.94,0.86,3.3,4.03,3.7,4.01,0.32,0.24,0.03,-0.07,0.52,0.61,0.57,0.60,-0.49,-0.62
353,[C@@H]3C(C)(C)OC2=C1)CO)O354CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)FCC[NH2+][C@@H](C)CC1=CC(=CC=C1)C(F)(F)FCCCCCN(CCCOC)C(=O)[C@@H](CCC(O)=O,H]3C(C)(C)O2)CO)C(=C1)OCCCCCN(CCCOC)C(=O)[C@@H](CCC([O-,5.06,4.02,21.38,11.66,7.33,9.97,0.66,0.45,0.70,0.60,1.33,1.07,0.87,1.00,-0.18,-0.35
355,C[C@H](C1=C[NH]C=N1)C2=CC=CC(=C2C),,0.18,0.31,3.7,3.11,1.2,2.02,0.024,0.05,0.74,-0.51,0.57,0.49,0.08,0.31,-1.62,-1.35
356,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=,C[C@H](C1=C[NH]C=N1)C2=C(C)C(=CC=C2)CCOC(=O)[C@@H]([C@H]1CCCC[NH2+]1)C2=CC=,1.6,1.72,11,7.68,2.2,3.52,0.06,0.07,0.20,0.24,1.04,0.89,0.34,0.55,-1.22,-1.16
357,CC=C2COC(=O)C1=C(C)NC(=C([C@@H]1C2=CC=,CC=C2COC(=O)C1=C(C)NC(=C([C@@H]1C2=CC(=CC=C2)[N+]([O-,2.65,2.64,6.67,5.49,8,6.20,0.87,0.70,0.42,0.42,0.82,0.74,0.90,0.79,-0.06,-0.15
358,CC(=C2)[N](=O)=O)C(=O)OCCCN3CCC(CC3)(C4=CC=CC=C4)C5=CC=CC=C5)CC[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O),])=O)C(=O)OCCC[NH+]3CCC(CC3)(C4=CC=CC=C4)C5=CC=CC=C5)CC[C@@H](C[NH+]1CC(=O)NC(=O)C1)[NH+]2CC(=,8.4,6.67,9.3,8.67,22,14.91,,,0.92,0.82,0.97,0.94,1.34,1.17,,
359,NC(=O)C2C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(C,O)NC(=O)C2C[C@H](C[NH+]1CCOCC1)C(C(=O)N2CCCC2)(C3=,0.55,0.69,3.1,3.52,2.5,2.90,1,0.85,0.26,-0.16,0.49,0.55,0.40,0.46,0.00,-0.07
360,3=CC=CC=C3)C4=CC=CC=C4C[C@@]12CCCCC[C@@H](CC3=C1C=C(O),CC=CC=C3)C4=CC=CC=C4C[C@]12CCCCC[C@@H](CC3=C1C=C(O)C=C3)[C,0.47,0.59,2.19,3.47,3.18,4.46,,,0.33,-0.23,0.34,0.54,0.50,0.65,,
361,C=C3)[C@@H]2NCC(=O)NC1=C(I)C(=C(I)C(=C1I)C(O)=O)NC(,@@H]2[NH3+]CC(=O)NC1=C(I)C(=C(I)C(=C1I)NC(C)=O)C([O-,5.6,4.45,27.5,22.56,3.9,5.64,0.08,0.15,0.75,0.65,1.44,1.35,0.59,0.75,-1.10,-0.84
362,C)=OCN1C(=O)CN=C(C2=CC=CC=C2)C3=CC(=C,])=OCN1C(=O)CN=C(C2=CC=CC=C2)C3=C1C=CC(=C3),0.26,0.32,1.7,1.70,1.8,2.03,1,0.31,0.59,-0.49,0.23,0.23,0.26,0.31,0.00,-0.51
363,,,1,1.22,0.38,0.57,42,20.31,0.023,0.03,0.00,0.09,-0.42,-0.24,1.62,1.31,-1.64,-1.46
364,NC[C@@H]1CC[C@@H](N)[C@H](O1)O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[,[NH3+]C[C@@H]1CC[C@@H]([NH3+])[C@H](O1)O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C,0.21,0.26,0.06,0.25,48,20.99,0.06,0.09,0.68,-0.58,-1.22,-0.60,1.68,1.32,-1.22,-1.06
365,C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O,@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O,0.13,0.16,0.8,0.95,2.4,2.57,,,0.89,-0.79,-0.10,-0.02,0.38,0.41,,
366,,,0.19,0.24,5.3,3.78,0.65,1.06,,,0.72,-0.62,0.72,0.58,-0.19,0.03,,
367,CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@,CC1=C(C(=O)N[C@H]2[C@@H]3SC(C)(C)[C@@H],0.22,0.25,3.5,2.00,1.4,2.34,0.005,0.01,0.66,-0.60,0.54,0.30,0.15,0.37,-2.30,-2.20
368,OC[C@@H]1CC[C@@H](O1)[N]2C=NC3=C2,OC[C@@H]1CC[C@@H](O1)[N]2C=NC3=C2N=CN,0.11,0.26,2,2.19,0.88,1.06,0.033,0.04,0.96,-0.58,0.30,0.34,-0.06,0.02,-1.48,-1.43
369,N=CNC3=OOC(=O)C1=CC(=CC=C1O)C2=CC=C(F)C=C2,C3=O,0.77,1.09,11,9.23,1.4,1.86,0.95,0.90,0.11,0.04,1.04,0.97,0.15,0.27,-0.02,-0.04
372,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H],OC1=C(C=C(C=C1)C2=C(F)C=C(F)C=C2)C([O-])=O0.0970.00160.0039C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C,,0.12,0.1,0.26,10,7.35,,,1.01,-0.91,-1.00,-0.59,1.00,0.87,-2.80,-2.40
373,3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H],@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@]5(C)[C@H](CC[C@@H]6[C@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C,0.44,0.55,0.043,0.21,180,67.27,0.066,0.09,0.36,-0.26,-1.37,-0.68,2.26,1.83,-1.18,-1.03
